+------+---------------------+
|codneg|Volatilidade         |
|MEC 3 |0.33652098539393877  |
|MELK3 |0.025053568983320448 |
|MEP 3 |0.07269024577005112  |
|MER 3 |0.17258884512802827  |
|MGE 3 |0.4942144169583398   |
|MIM 3 |0.47140452079103173  |
|MNS 3 |0.09829902549210959  |
|MNSA3 |0.4062243972114861   |
|MSP 3 |0.8918335967112323   |
|MTC 3 |7.441271561478012E-4 |
|MTI 3 |0.42426406871192857  |
|MTRE3 |0.04615345854374307  |
|MTSA3 |0.22332924077968666  |
|NAF 3 |0.03535533905932741  |
|NGRD3 |0.08154360716309332  |
|NOV 3 |38.24804861872689    |
|OGSA3 |0.07398404348237173  |
|ORI 3 |0.08319050784730507  |
|ORIO3 |0.08393737492862159  |
|PDA 3 |0.07823182738676163  |
|PDTC3 |0.04909060133088079  |
|PGMN3 |0.016469445632356968 |
|PIUM3 |3.8072361145215896   |
|PLIM3 |0.16279180225786802  |
|PLPL3 |0.03364317874831103  |
|POM 3 |0.1378369049087909   |
|PRB 3 |0.4739650597174525   |
|PRBN3 |0.1817188394662202   |
|PRG 3 |0.24323474832293412  |
|PRNR3 |0.04062713846020991  |
|PRO 3 |0.1499923475244192   |
|PRTX3 |0.03685532237518687  |
|PTB 3 |0.4995               |
|PTQ 3 |4.713259795512913E-4 |
|RAN 3 |86.95192879508825    |
|RAP 3 |0.2265457940919574   |
|RDOR3 |0.02105830418167638  |
|RECF3 |5.322309105706636E-4 |
|RHE 3 |0.1941922962460695   |
|RHER3 |0.10548140054620007  |
|ROS 3 |0.10013764631429274  |
|RRRP3 |0.02777107249060637  |
|RSI 3 |0.064248144553611    |
|SANO3 |0.1613276840481693   |
|SCLO3 |2.092730820233239    |
|SCON3 |0.0429322218876239   |
|SDOK3 |0.13149778198382917  |
|SEDU3 |0.033672340357944794 |
|SEM 3 |0.08330042028746017  |
|SEQL3 |0.021579981965989502 |
|SGA 3 |0.10848423078175386  |
|SGEN3 |0.4015917264527732   |
|SHA 3 |0.2532004610818916   |
|SHAP3 |0.30214121249947595  |
|SIF 3 |0.23502332451831578  |
|SIFC3 |0.5042776042975159   |
|SIMH3 |0.029523224064358963 |
|SJO 3 |0.240730413878113    |
|SJOS3 |0.3764835996314726   |
|SLA 5 |0.013823140083346175 |
|SLAE3 |0.010921825723578277 |
|SNS 3 |0.21528741808023555  |
|SNSY3 |0.47152819080481895  |
|SOE 3 |0.435645680714555    |
|SOL 3 |0.1194891233925382   |
|SOMA3 |0.0264343067716233   |
|SON 3 |0.263308265353654    |
|SPC 3 |0.023481040236662348 |
|SPPE3 |0.848185910656936    |
|SUL 3 |0.33610235785245185  |
|TAM 3 |0.1663811320943578   |
|TCN 3 |0.8779711460710615   |
|TEK 3 |0.16317848796612638  |
|TESE3 |0.4939632004756824   |
|TIB 3 |0.5949298597675554   |
|TIBR3 |0.56354297982287     |
|TKN 3 |0.11734092682150504  |
|TRB 3 |0.22475256108217828  |
|TRBR3 |0.12509768878570116  |
|TRF 3 |0.13219030176544902  |
|TROR3 |0.35379876297381374  |
|TXRX3 |0.6277294308313589   |
|UBH 3 |0.05440693318535601  |
|USG 3 |0.16918170403324304  |
|USGE3 |0.09195418900201127  |
|VEM 3 |0.3339966926361157   |
|VEP 3 |0.23382274577580156  |
|VLJ 3 |0.3717994058651628   |
|VPSC3 |1.7666235585989198   |
|VPTA3 |0.2984066323077592   |
|VTE 3 |0.13561117141753792  |
|WISA3 |0.1363126986465683   |
|WMBY3 |4.74418393963275     |
|ZAN 3 |0.4152693364209293   |
|ZIV 3 |0.41997996773269264  |
|ZIVI3 |279.6750331859745    |
