"year","ECONOMIC.FREEDOM","rank","quartile","X1a_government_consumption","X1b_transfers","X1c_gov_enterprises","X1d_top_marg_tax_rate","X1_size_government","X2a_judicial_independence","X2b_impartial_courts","X2c_protection_property_rights","X2d_military_interference","X2e_integrity_legal_system","X2f_legal_enforcement_contracts","X2g_restrictions_sale_real_property","X2h_reliability_police","X2i_business_costs_crime","X2j_gender_adjustment","X2_property_rights","X3a_money_growth","X3b_std_inflation","X3c_inflation","X3d_freedom_own_foreign_currency","X3_sound_money","X4a_tariffs","X4b_regulatory_trade_barriers","X4c_black_market","X4d_control_movement_capital_ppl","X4_trade","X5a_credit_market_reg","X5b_labor_market_reg","X5c_business_reg","X5_regulation","continent"
2005,7.05,59,2,7.884038005,6.6,7,7.5,7.246009501,6.550925926,5.469483568,6.261904762,8.194444444,4.166666667,3.883944765,6.418800541,4.835680751,4.351851852,1,5.570411475,6.894077145,6.755253729,9.060144522,10,8.177368849,7.729511111,6.221927506,10,7.398514148,7.837488191,6.711134849,6.430894303,6.158083282,6.433370811,"South America"
2005,6.34,91,3,2.685294118,7.596730245,10,5.5,6.445506091,4.420289855,4.637681159,6.15942029,3.333333333,1.666666667,1.803958128,8.743539444,5.724637681,3.333333333,1,4.42476221,7.693174794,9.565549403,8.990319032,5,7.812260807,7.717777778,4.979657616,8.071242398,5.160274991,6.482238196,8.240126187,5.365039203,6.026313393,6.543826261,"South America"
2008,6.6,87,3,6.120588235,7.529868763,10,5.5,7.28761425,4.396594017,3.97728,4.942290767,3.333333333,3.333333333,1.803958128,8.964592776,5.229742811,2.738548683,1,4.302185983,8.480810709,9.387933068,8.600601847,5,7.867336406,7.36,6.137226495,8.528916339,4.547218466,6.643340325,8.820646306,5.47778563,6.407350856,6.901927597,"South America"
1990,5.55,53,2,8.250667958,8.555858311,0,7,5.951631567,0.687702548277778,1.17907475344444,5.9,1.42454209127778,6.6,3.69535796129412,8.42970084776471,1.59210899466667,1.77785516816667,1,5.699114081,7.284031952,0,1.658,10,4.735507988,4.217777778,3.39541185933333,10,5,6.405925926,6,3.866366667,3.07616298433333,4.933183333,"South America"
2007,7.08,65,2,7.937093598,6.784741144,7,8,7.430458686,6.730002813,5.061910951,6.434731138,6.666666667,4.166666667,3.883944765,6.418800541,4.618764709,6.105454437,1,5.565215854,6.591412013,7.432174165,8.377157192,10,8.100185842,7.677775865,6.632098474,10,7.65705944,7.991733445,6.773733887,6.253619477,5.901975587,6.309776317,"South America"
1970,6.57,71.9047619047619,2.61904761904762,8.701368045,9.712757611,6,8.925,8.138041885,1.245122850375,2.43922453666667,3.49886944845,2.81248104411111,3.43841473904762,4.17448398211765,8.39248596364706,2.38858831308333,4.01924498525,0.333333333,3.55957534880952,9.17274985,9.108,9.618,10,9.474687462,3.266666667,5.50674367776471,6.6,5,4.955555556,8.23882242442105,3.81270769423529,5.36466483205882,5.74542648710526,"South America"
2006,6.15,106,3,4.464705882,7.836512262,8,5.5,6.450304536,3.571910385,3.102224016,5.765588364,6.666666667,4.166666667,4.81963627,8.229142848,2.624217325,3.03349945,1,4.664394666,8.33612418,8.600135063,9.163250572,5,7.774877454,7.766222222,6.175930131,9.80952381,5.784483053,7.384039804,6.11965641,3.84944126,3.49125035,4.486782674,"South America"
1980,5.05,57,3,7.359853613,6.621253406,4,2,4.995276755,6.29288517577778,5.85772160677778,6.4,7.23437339511111,8.3,5.10935684235294,9.002629123,8.36808456125,5.94715424316667,0.777777778,5.718531845,0,0,4.248,5,2.312,8.711111111,7.84158756266667,8.8,2,6.503703704,7.543209877,5.51131164884211,7.13169447722222,5.697855926,"South America"
2006,6.51,88,3,5.155882353,7.459055199,10,5,6.903734388,4.685340022,4.503203297,5.885546147,3.333333333,2.5,1.803958128,8.743539444,5.215085508,3.722587283,1,4.488065907,7.749570064,9.504261955,9.140738724,5,7.848642686,7.024444444,5.944009057,8.882978723,5.131630007,6.745765558,8.240126187,5.378869503,6.125844111,6.581613267,"South America"
1980,3.6,95,4,7.255284926,9.61852861,7,2,6.468453384,2.44305495394444,2.9890231445,4,7.67979437383333,3.3,4.75289865411765,8.55527404352941,3.109749481,3.80458432241667,0.666666667,3.138293786,3.376861878,3.096,0,0,1.61821547,1.466666667,6.56584810316667,6.4,2,3.288888889,2.947947948,6.701381444,5.88756345405556,3.462275843,"South America"
2001,7.37,33,2,6.913325405,6.512048075,6,5,6.10634337,5.41362524,5.401002566,4.962962866,6.666666667,8.333333333,5.109379145,8.953927906,8.36808456125,5.94715424316667,0.777777778,5.694082251,9.96468289,8.524898735,9.286156779,10,9.443934601,9.067536501,9.174129407,10,6.996890192,8.809639025,9.257480548,4.387942093,6.696417517,6.780613386,"South America"
1980,6.72,13,1,6.563935568,9.591280654,2,7,6.288804055,0.687702548277778,1.17907475344444,5.8,1.42454209127778,8.3,3.69535796129412,8.42970084776471,1.59210899466667,1.77785516816667,1,6.21648688,7.791764349,7.024,4.796,10,7.402941087,8,3.39541185933333,10,8,8.666666667,6.086419753,3.15516540384211,3.07616298433333,5.040215123,"South America"
2011,6.35,110,3,0.917647059,8.755585831,8,5,5.668308222,5.224859643,3.307274312,4.32376747,5,5,2.745757539,1.773506263,6.241853418,5.549625783,0.974358974,4.216076316,9.719160569,7.636836643,6.458,10,8.453499303,7.5228,6.599494889,10,2.439613297,6.640477046,7.74641308,7.769303361,4.834429085,6.783381842,"South America"
1990,4.47,92,4,8.529411765,8.174386921,4,4,6.175949671,2.35821096411111,2.55997730788889,5.3,7.26187431372222,8.3,4.83173028717647,6.759935639,2.96151378141667,4.13942663741667,0.888888889,5.696758173,0,0,0,10,2.5,3.193333333,5.51217093761111,10,0,4.397777778,3.695362029,3.459475,5.10110328216667,3.577418514,"South America"
2003,6.25,82,3,8.156680225,9.858310627,10,8,9.003747713,1.333333333,1.666666667,2.166666667,3.333333333,5,4.380510817,7.053140248,3.52758862483333,4.07787232666667,0.888888889,3.364064033,2.860449726,1.99503462,8.414117999,10,5.817400586,7.171111111,5.416666667,10,6.096153846,7.170982906,9.138510978,3.905555556,4.614460511,5.886175681,"South America"
2000,6.79,61,2,7.037518565,9.262746474,4,10,7.57506626,1.245122850375,4.083064554,2.26712,3.333333333,5,4.187770031,8.435414126,2.38858831308333,4.01924498525,1,4.551117007,8.656435151,8.024422432,8.203568046,10,8.721106407,7.632144185,4.96691,10,7.06395,7.415751046,8.823786141,3.142847039,5.037373552,5.668002244,"South America"
2012,7.57,23,1,7.735294118,9.639451262,7,6,7.593686345,2.564102179,3.494590227,4.501857951,7.5,5,5.084941294,8.792407873,2.979307816,3.607663808,1,4.836096794,8.84306256,9.158527677,9.27,10,9.317897559,9.005066667,6.781877392,10,8.077781785,8.466181461,9.333333333,6.939318632,6.606357151,7.626336372,"South America"
2004,6.45,77,3,6.082352941,8.656675749,0,10,6.184757173,2.025316456,2.426160338,1.518987342,5,5,3.993334023,6.617713964,2.69599106066667,4.84850718675,0.888888889,3.586394493,8.936289303,8.999468334,9.112631517,10,9.262097288,8.992688889,5.035525061,10,6.193605972,7.55545498,8.946225903,3.572209276,4.394127602,5.637520927,"South America"
2013,3.32,157,4,7.062094911,5.773841962,0,6,4.708984218,0.192061884,0.637051983,0.869959496,0.833333333,1.666666667,3.212148767,8.195461557,1.214753016,1.479996601,1,2.033492589,2.76840426,3.758525229,1.872114497,5,3.349760996,7.513822222,2.375016524,0,3.389396696,3.319558861,4.764899784,2.289767631,2.552251447,3.202306288,"South America"
2001,6.23,78,3,4.911896368,8.709209096,8,5.5,6.780276366,3.923076789,3.951612711,4.348958333,3.333333333,1.666666667,1.803958128,8.743539444,5.07924306325,3.04744748491667,1,3.967306486,8.531520707,8.329929037,8.406472139,5,7.566980471,7.722341211,6.25,10,3.9361925,6.977133428,8.197812834,3.840791324,5.511400792,5.85000165,"South America"
1995,6.95,37,2,8.058823529,7.329700272,10,7.5,8.22213095,3.866666667,4.2,4.565,7.65818209,6.964285714,4.83173028717647,6.759935639,2.96151378141667,4.13942663741667,0.888888889,5.148003178,7.06893236,0,9.226,10,6.57373309,7.464444444,7.166666667,10,9.528333333,8.539861111,7.535869203,5.93518,5.357522222,6.276190475,"South America"
1980,5.7,36,2,6.007527953,8.801089918,2,5,5.452154468,1.79046729911765,2.43259170705556,6.4,2.82781412338889,6.7,4.40935534152941,8.26589759835294,3.52758862483333,4.07787232666667,0.888888889,5.531955196,8.134780972,8.376,6.098,10,8.152195243,5.2,4.92609038005882,7.4,2,4.866666667,5.422422422,4.01958551376471,4.78501453158824,4.519906899,"South America"
